EmployeeID,Age,Department,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,TrainingTimesLastYear,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,Cluster,CareerPathSegment,PromotionGapRiskScore,Attrition,JobSatisfaction,EnvironmentSatisfaction
0,41,Sales,Sales Executive,6,4,0,0,5,0.0,0.6666666666666666,0.0,0.8333333333333334,3,Fast-Track Performers,Medium,1,4,2
1,49,Research & Development,Research Scientist,10,7,1,3,7,0.1,0.7,0.3,0.7,2,High-Risk Stagnation Profile,Medium,0,2,3
2,37,Research & Development,Laboratory Technician,0,0,0,3,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,1,3,4
3,33,Research & Development,Research Scientist,8,7,3,3,0,0.375,0.875,0.375,0.0,3,Fast-Track Performers,Medium,0,3,4
4,27,Research & Development,Laboratory Technician,2,2,2,3,2,1.0,1.0,1.5,1.0,4,Promotion-Stalled Employees,High,0,2,1
5,32,Research & Development,Laboratory Technician,7,7,3,2,6,0.42857142857142855,1.0,0.2857142857142857,0.8571428571428571,2,High-Risk Stagnation Profile,High,0,4,4
6,59,Research & Development,Laboratory Technician,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,1,3
7,30,Research & Development,Laboratory Technician,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,3,4
8,38,Research & Development,Manufacturing Director,9,7,1,2,8,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.8888888888888888,2,High-Risk Stagnation Profile,High,0,3,4
9,36,Research & Development,Healthcare Representative,7,7,7,3,7,1.0,1.0,0.42857142857142855,1.0,0,High-Risk Stagnation Profile,High,0,3,3
10,35,Research & Development,Laboratory Technician,5,4,0,5,3,0.0,0.8,1.0,0.6,3,Fast-Track Performers,Medium,0,2,1
11,29,Research & Development,Laboratory Technician,9,5,0,3,8,0.0,0.5555555555555556,0.3333333333333333,0.8888888888888888,2,High-Risk Stagnation Profile,Medium,0,3,4
12,31,Research & Development,Research Scientist,5,2,4,1,3,0.8,0.4,0.2,0.6,4,Promotion-Stalled Employees,High,0,3,1
13,34,Research & Development,Laboratory Technician,2,2,1,2,2,0.5,1.0,1.0,1.0,4,Promotion-Stalled Employees,High,0,4,2
14,28,Research & Development,Laboratory Technician,4,2,0,4,3,0.0,0.5,1.0,0.75,3,Fast-Track Performers,Low,1,3,3
15,29,Research & Development,Manufacturing Director,10,9,8,1,8,0.8,0.9,0.1,0.8,0,High-Risk Stagnation Profile,High,0,1,2
16,32,Research & Development,Research Scientist,6,2,0,5,5,0.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,3,Fast-Track Performers,Low,0,2,1
17,22,Research & Development,Laboratory Technician,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,4,4
18,38,Research & Development,Research Scientist,3,2,1,3,2,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,3,Fast-Track Performers,Medium,0,4,4
19,24,Research & Development,Manufacturing Director,4,2,1,5,3,0.25,0.5,1.25,0.75,3,Fast-Track Performers,Low,0,3,1
20,36,Sales,Sales Representative,5,3,0,4,3,0.0,0.6,0.8,0.6,3,Fast-Track Performers,Low,1,1,3
21,34,Research & Development,Research Director,12,6,2,4,11,0.16666666666666666,0.5,0.3333333333333333,0.9166666666666666,2,High-Risk Stagnation Profile,Medium,0,2,1
22,21,Research & Development,Research Scientist,0,0,0,6,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,0,4,3
23,34,Research & Development,Research Scientist,4,2,1,2,3,0.25,0.5,0.5,0.75,3,Fast-Track Performers,Low,1,1,2
24,53,Research & Development,Manager,14,13,4,3,8,0.2857142857142857,0.9285714285714286,0.21428571428571427,0.5714285714285714,2,High-Risk Stagnation Profile,High,0,3,3
25,32,Research & Development,Research Scientist,10,2,6,5,7,0.6,0.2,0.5,0.7,0,High-Risk Stagnation Profile,High,1,1,2
26,42,Sales,Sales Executive,9,7,4,2,2,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.2222222222222222,3,Fast-Track Performers,High,0,2,3
27,44,Research & Development,Healthcare Representative,22,6,5,4,17,0.22727272727272727,0.2727272727272727,0.18181818181818182,0.7727272727272727,2,High-Risk Stagnation Profile,Medium,0,4,1
28,46,Sales,Manager,2,2,2,2,1,1.0,1.0,1.0,0.5,4,Promotion-Stalled Employees,High,0,1,2
29,33,Research & Development,Laboratory Technician,1,1,0,3,0,0.0,1.0,3.0,0.0,1,Early-Career Explorers,Medium,0,4,3
30,44,Research & Development,Healthcare Representative,4,2,1,5,3,0.25,0.5,1.25,0.75,3,Fast-Track Performers,Low,0,4,4
31,30,Research & Development,Laboratory Technician,10,0,1,5,8,0.1,0.0,0.5,0.8,3,Fast-Track Performers,Low,0,3,4
32,39,Sales,Sales Representative,1,0,0,6,0,0.0,0.0,6.0,0.0,1,Early-Career Explorers,Low,1,4,4
33,24,Research & Development,Research Scientist,2,0,2,2,0,1.0,0.0,1.0,0.0,1,Early-Career Explorers,Medium,1,4,2
34,43,Research & Development,Research Scientist,5,3,1,3,4,0.2,0.6,0.6,0.8,3,Fast-Track Performers,Low,0,3,4
35,50,Sales,Sales Representative,3,2,0,2,2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,Fast-Track Performers,Medium,1,3,1
36,35,Sales,Sales Representative,2,2,2,3,2,1.0,1.0,1.5,1.0,4,Promotion-Stalled Employees,High,0,4,4
37,36,Research & Development,Research Scientist,1,1,0,3,0,0.0,1.0,3.0,0.0,1,Early-Career Explorers,Medium,0,1,2
38,33,Sales,Sales Executive,5,3,1,3,3,0.2,0.6,0.6,0.6,3,Fast-Track Performers,Low,0,1,3
39,35,Research & Development,Laboratory Technician,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,4,3
40,27,Research & Development,Laboratory Technician,1,0,0,6,0,0.0,0.0,6.0,0.0,1,Early-Career Explorers,Low,0,1,4
41,26,Research & Development,Laboratory Technician,1,0,0,2,1,0.0,0.0,2.0,1.0,3,Fast-Track Performers,Low,1,3,1
42,27,Sales,Sales Executive,9,8,1,0,7,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,2,High-Risk Stagnation Profile,High,0,3,4
43,30,Research & Development,Laboratory Technician,12,8,3,2,7,0.25,0.6666666666666666,0.16666666666666666,0.5833333333333334,2,High-Risk Stagnation Profile,High,0,4,3
44,41,Research & Development,Research Director,22,15,15,0,8,0.6818181818181818,0.6818181818181818,0.0,0.36363636363636365,0,High-Risk Stagnation Profile,High,1,3,2
45,34,Sales,Sales Executive,9,5,8,2,7,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.7777777777777778,0,High-Risk Stagnation Profile,High,0,3,2
46,37,Research & Development,Research Scientist,1,0,0,1,0,0.0,0.0,1.0,0.0,1,Early-Career Explorers,Low,0,2,2
47,46,Sales,Sales Executive,9,6,0,4,8,0.0,0.6666666666666666,0.4444444444444444,0.8888888888888888,2,High-Risk Stagnation Profile,Medium,0,4,1
48,35,Research & Development,Laboratory Technician,1,0,0,2,1,0.0,0.0,2.0,1.0,3,Fast-Track Performers,Low,0,4,4
49,48,Research & Development,Laboratory Technician,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,1,3,1
50,28,Research & Development,Laboratory Technician,2,2,2,3,2,1.0,1.0,1.5,1.0,4,Promotion-Stalled Employees,High,1,3,3
51,44,Sales,Sales Executive,4,3,1,2,3,0.25,0.75,0.5,0.75,3,Fast-Track Performers,Medium,0,1,2
52,35,Research & Development,Healthcare Representative,4,0,2,3,3,0.5,0.0,0.75,0.75,3,Fast-Track Performers,Medium,0,1,3
53,26,Sales,Sales Executive,2,2,0,2,0,0.0,1.0,1.0,0.0,3,Fast-Track Performers,Medium,0,4,3
54,33,Research & Development,Research Director,15,14,8,1,12,0.5333333333333333,0.9333333333333333,0.06666666666666667,0.8,0,High-Risk Stagnation Profile,High,0,4,1
55,35,Sales,Sales Executive,9,8,1,3,8,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.8888888888888888,2,High-Risk Stagnation Profile,Medium,0,1,2
56,35,Research & Development,Laboratory Technician,2,2,2,3,2,1.0,1.0,1.5,1.0,4,Promotion-Stalled Employees,High,0,1,3
57,31,Research & Development,Laboratory Technician,7,7,1,3,7,0.14285714285714285,1.0,0.42857142857142855,1.0,2,High-Risk Stagnation Profile,Medium,0,4,4
58,37,Research & Development,Manufacturing Director,7,5,0,2,7,0.0,0.7142857142857143,0.2857142857142857,1.0,2,High-Risk Stagnation Profile,High,0,3,1
59,32,Research & Development,Manufacturing Director,9,8,7,3,8,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,0,High-Risk Stagnation Profile,High,0,4,1
60,38,Research & Development,Laboratory Technician,10,3,9,2,9,0.9,0.3,0.2,0.9,0,High-Risk Stagnation Profile,High,0,4,4
61,59,Sales,Sales Executive,21,16,7,3,9,0.3333333333333333,0.7619047619047619,0.14285714285714285,0.42857142857142855,0,High-Risk Stagnation Profile,High,0,1,1
62,36,Research & Development,Healthcare Representative,17,14,12,2,8,0.7058823529411765,0.8235294117647058,0.11764705882352941,0.47058823529411764,0,High-Risk Stagnation Profile,High,0,3,3
63,55,Research & Development,Manager,5,0,0,2,2,0.0,0.0,0.4,0.4,3,Fast-Track Performers,Low,0,3,4
64,36,Research & Development,Manufacturing Director,6,5,0,3,3,0.0,0.8333333333333334,0.5,0.5,3,Fast-Track Performers,Medium,0,2,2
65,45,Research & Development,Research Scientist,1,0,0,2,0,0.0,0.0,2.0,0.0,1,Early-Career Explorers,Low,0,1,2
66,35,Research & Development,Research Scientist,3,2,1,2,2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,Fast-Track Performers,Medium,0,1,2
67,36,Research & Development,Research Scientist,1,0,0,0,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,1,3,4
68,59,Sales,Sales Executive,4,3,1,2,3,0.25,0.75,0.5,0.75,3,Fast-Track Performers,Medium,0,3,1
69,29,Research & Development,Research Scientist,5,4,0,3,4,0.0,0.8,0.6,0.8,3,Fast-Track Performers,Medium,0,2,3
70,31,Research & Development,Research Scientist,1,1,1,4,0,1.0,1.0,4.0,0.0,4,Promotion-Stalled Employees,High,0,2,3
71,32,Research & Development,Research Scientist,10,4,0,3,9,0.0,0.4,0.3,0.9,2,High-Risk Stagnation Profile,Medium,0,2,2
72,36,Research & Development,Laboratory Technician,1,0,0,3,0,0.0,0.0,3.0,0.0,1,Early-Career Explorers,Low,0,4,2
73,31,Research & Development,Manufacturing Director,11,7,1,2,8,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.7272727272727273,2,High-Risk Stagnation Profile,High,0,4,3
74,35,Sales,Sales Executive,15,13,2,2,8,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.5333333333333333,2,High-Risk Stagnation Profile,High,0,1,3
75,45,Research & Development,Research Director,0,0,0,3,0,0.0,0.0,0.0,0.0,1,Early-Career Explorers,Medium,0,1,4
76,37,Research & Development,Research Director,5,2,0,3,2,0.0,0.4,0.6,0.4,3,Fast-Track Performers,Low,0,3,1
77,46,Human Resources,Human Resources,4,2,0,2,2,0.0,0.5,0.5,0.5,3,Fast-Track Performers,Low,0,2,2
78,30,Research & Development,Laboratory Technician,10,8,3,1,0,0.3,0.8,0.1,0.0,3,Fast-Track Performers,High,0,4,4
