Age,Department,JobRole,YearsAtCompany,YearsSinceLastPromotion,PromotionGapRatio,RoleStagnationIndex,CareerPathSegment,PromotionGapRiskScore,JobSatisfaction,EnvironmentSatisfaction
33,Research & Development,Research Scientist,8,3,0.375,0.875,Fast-Track Performers,Medium,3,4
32,Research & Development,Laboratory Technician,7,3,0.42857142857142855,1.0,High-Risk Stagnation Profile,High,4,4
38,Research & Development,Manufacturing Director,9,1,0.1111111111111111,0.7777777777777778,High-Risk Stagnation Profile,High,3,4
36,Research & Development,Healthcare Representative,7,7,1.0,1.0,High-Risk Stagnation Profile,High,3,3
29,Research & Development,Laboratory Technician,9,0,0.0,0.5555555555555556,High-Risk Stagnation Profile,Medium,3,4
38,Research & Development,Research Scientist,3,1,0.3333333333333333,0.6666666666666666,Fast-Track Performers,Medium,4,4
21,Research & Development,Research Scientist,0,0,0.0,0.0,Early-Career Explorers,Medium,4,3
53,Research & Development,Manager,14,4,0.2857142857142857,0.9285714285714286,High-Risk Stagnation Profile,High,3,3
33,Research & Development,Laboratory Technician,1,0,0.0,1.0,Early-Career Explorers,Medium,4,3
35,Sales,Sales Representative,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
27,Sales,Sales Executive,9,1,0.1111111111111111,0.8888888888888888,High-Risk Stagnation Profile,High,3,4
30,Research & Development,Laboratory Technician,12,3,0.25,0.6666666666666666,High-Risk Stagnation Profile,High,4,3
26,Sales,Sales Executive,2,0,0.0,1.0,Fast-Track Performers,Medium,4,3
31,Research & Development,Laboratory Technician,7,1,0.14285714285714285,1.0,High-Risk Stagnation Profile,Medium,4,4
38,Research & Development,Laboratory Technician,10,9,0.9,0.3,High-Risk Stagnation Profile,High,4,4
36,Research & Development,Healthcare Representative,17,12,0.7058823529411765,0.8235294117647058,High-Risk Stagnation Profile,High,3,3
31,Research & Development,Manufacturing Director,11,1,0.09090909090909091,0.6363636363636364,High-Risk Stagnation Profile,High,4,3
30,Research & Development,Laboratory Technician,10,3,0.3,0.8,Fast-Track Performers,High,4,4
30,Research & Development,Healthcare Representative,11,10,0.9090909090909091,0.9090909090909091,High-Risk Stagnation Profile,High,4,3
51,Sales,Sales Executive,10,1,0.1,0.7,Fast-Track Performers,Medium,4,3
25,Research & Development,Research Scientist,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,4
54,Human Resources,Manager,5,4,0.8,0.6,Promotion-Stalled Employees,High,4,4
43,Sales,Manager,25,4,0.16,0.48,High-Risk Stagnation Profile,Medium,4,3
22,Research & Development,Laboratory Technician,2,2,1.0,0.5,Promotion-Stalled Employees,High,4,3
50,Sales,Sales Executive,2,2,1.0,1.0,Promotion-Stalled Employees,High,4,3
41,Sales,Sales Executive,9,0,0.0,0.7777777777777778,High-Risk Stagnation Profile,High,3,3
26,Human Resources,Human Resources,8,5,0.625,0.875,High-Risk Stagnation Profile,High,3,3
39,Sales,Sales Executive,15,5,0.3333333333333333,0.7333333333333333,High-Risk Stagnation Profile,High,3,4
